主键ID,供应商名称,街道名称,床位数,执业年月,地址,联系电话,邮编,运营模式,证照情况,占地面积,建筑面积,绿化面积,房屋权属证明,有产证,无产证,月份,创建时间,更新时间,jd,wd
22,上海奉贤区奉城镇头桥敬老院,奉城镇,30.0,0.0,0.0,15800504726,0.0,1,1.0,30.0,30.0,30.0,0.0,0.0,0.0,201905,0.0,0.0,121.644812,30.941702
81,上海奉贤区奉浦敬老院,奉浦街道,30.0,0.0,0.0,57433046,201401.0,1,1.0,30.0,118.0,118.0,1.0,2.0,0.0,201906,0.0,0.0,121.446530,30.963549
82,上海奉贤区庄行镇邬桥敬老院,庄行镇,118.0,0.0,0.0,57403090,201402.0,1,1.0,118.0,182.0,118.0,2.0,0.0,2.0,201906,0.0,0.0,121.392475,30.959798
83,上海奉贤区青村镇敬老院,青村镇,30.0,0.0,0.0,0,201414.0,1,2.0,30.0,118.0,118.0,2.0,0.0,2.0,201906,0.0,0.0,121.584252,30.927387
84,上海奉贤区四团镇敬老院,四团镇,30.0,0.0,0.0,57533540,201412.0,1,0.0,30.0,118.0,118.0,2.0,0.0,2.0,201906,0.0,0.0,121.720940,30.945321
85,上海奉贤区奉城镇头桥敬老院,奉城镇,30.0,0.0,0.0,0,201409.0,1,2.0,30.0,118.0,130.0,2.0,0.0,2.0,201906,0.0,0.0,121.644812,30.941702
86,上海奉贤区金汇镇敬老院,金汇镇,30.0,0.0,0.0,57575176,201403.0,1,0.0,30.0,118.0,130.0,1.0,1.0,0.0,201906,0.0,0.0,121.499795,30.983162
87,上海奉贤区金汇镇泰日敬老院,金汇镇,30.0,0.0,0.0,0,201405.0,1,0.0,30.0,130.0,130.0,1.0,1.0,0.0,201906,0.0,0.0,121.566162,30.978289
88,上海市奉贤区永生养老院,西渡街道,30.0,0.0,0.0,13917933871,201401.0,3,1.0,30.0,130.0,130.0,2.0,0.0,2.0,201906,0.0,0.0,121.441433,30.971844
89,上海奉贤区南桥镇光明村养老院,南桥镇,30.0,0.0,0.0,57473052,201406.0,3,0.0,30.0,130.0,130.0,1.0,1.0,0.0,201906,0.0,0.0,121.505884,30.911411
90,上海奉贤区伊甸敬老院,庄行镇,30.0,0.0,0.0,57465563—8002,201415.0,3,1.0,30.0,130.0,160.0,2.0,0.0,3.0,201906,0.0,0.0,121.392309,30.908120
91,上海奉贤区泰日光星养老院,金汇镇,30.0,0.0,0.0,18916132555,201405.0,3,0.0,30.0,130.0,160.0,2.0,0.0,2.0,201906,0.0,0.0,121.593254,30.985029
92,上海奉贤区钱桥恩霖托老所,青村镇,50.0,0.0,0.0,57597691,201407.0,3,1.0,50.0,160.0,30.0,2.0,0.0,3.0,201906,0.0,0.0,121.536534,30.885676
93,上海奉贤区明馨艺术养老院,南桥镇,30.0,0.0,0.0,021-61909190,201406.0,3,0.0,30.0,160.0,160.0,1.0,1.0,0.0,201906,0.0,0.0,121.502141,30.892755
94,上海奉贤区兰公馆养老院,青村镇,30.0,0.0,0.0,33616880,201414.0,3,1.0,30.0,160.0,160.0,1.0,1.0,0.0,201906,0.0,0.0,121.537473,30.921850
95,上海奉贤区长远养老院,庄行镇,30.0,0.0,0.0,57403219,201402.0,3,0.0,30.0,160.0,160.0,1.0,3.0,0.0,201906,0.0,0.0,121.404716,30.958883
96,上海市奉贤区金苹果养老院,青村镇,160.0,0.0,0.0,31115700,201414.0,3,0.0,160.0,160.0,160.0,1.0,3.0,0.0,201906,0.0,0.0,121.553379,30.927644
97,上海奉贤区逸仙颐养院,金汇镇,718.0,0.0,0.0,18121007959,201404.0,2,2.0,718.0,718.0,30.0,2.0,0.0,2.0,201906,0.0,0.0,121.474042,30.917795
98,上海新华老年公寓,庄行镇,30.0,0.0,0.0,574679999*8803,201415.0,3,1.0,30.0,160.0,182.0,1.0,3.0,0.0,201906,0.0,0.0,121.368567,30.895113
99,上海奉贤区高桥长者照护之家,奉城镇,49.0,0.0,0.0,37580501,201411.0,3,2.0,49.0,130.0,30.0,2.0,0.0,3.0,201906,0.0,0.0,121.631426,30.913843
100,上海奉贤区瑷佲长者照护之家,奉城镇,30.0,0.0,0.0,57529468,201411.0,3,2.0,30.0,160.0,182.0,2.0,0.0,2.0,201906,0.0,0.0,121.471933,31.309435
101,上海奉贤区海湾镇敬老院,海湾镇,182.0,0.0,0.0,37598059-8001,201422.0,1,0.0,182.0,182.0,182.0,1.0,3.0,0.0,201906,0.0,0.0,121.726364,30.866756
