序号,所属区,所属街镇,机构名称,地址,联系电话,jd,wd
1.0,浦东,花木,上海市浦东新区花木社区街道广洋养老院,灵山路2011弄59号,50757159,121.573427,31.245278
2.0,浦东,花木,上海浦东新区申东颐养院,严桥路306号,50890306,121.529107,31.185984
3.0,浦东,金杨,上海春馨养护院,浦东大道2507号,50273890,121.559411,31.258202
4.0,浦东,南码头,上海市浦东新区南码头路街道南园养老院,浦三路628弄18号,50779884,121.516352,31.188486
5.0,浦东,南码头,上海市浦东新区南码头路街道南风养老院,东三里桥路160弄22号,58816184,121.510434,31.199617
6.0,浦东,南码头,上海机电养老院,杨高南路2068号,58739865,121.505879,30.911398
7.0,浦东,南码头,上海浦东新区民众敬老院,浦三路741弄22号,50771286,121.518463,31.184912
8.0,浦东,南码头,上海浦东市南养老院,西三里桥路6号,58892115,121.507414,31.199437
9.0,浦东,上钢,上海市浦东新区上钢新村街道耀华养老院,耀华路550弄2号,58476531,121.481185,31.171058
10.0,浦东,东明,上海市浦东新区东明路街道世博家园养老院,东泰林路158号,50658622,121.541009,31.152374
11.0,浦东,东明,上海春天家园老年公寓,上南路4276号,51380299,121.510158,31.143500
12.0,浦东,南汇新城,上海秋胜养老院,泥城镇千祥村兴隆九组,58071912,121.841682,30.887300
13.0,浦东,金桥,上海市浦东新区金桥镇申江养护院,浦东新区申江路2480号,58993688,121.624639,31.258200
14.0,浦东,曹路,上海曹路期颐老年公寓,曹路镇杨东路6号,58632886,121.665408,31.292793
15.0,浦东,高桥,上海浦东新区高桥吉祥敬老院,欧高路382号,58677838,121.577177,31.356947
16.0,浦东,高桥,上海浦东新区金色港湾老年公寓,溪兰路125号,58674065,121.576541,31.334848
17.0,浦东,高东,上海浦东新区高东福利院,镇南路116号,20250776,121.631279,31.304468
18.0,浦东,高行,上海市浦东新区高行镇万安养老院,新行路306号,68689981,121.611671,31.297449
19.0,浦东,合庆,上海浦东新区合庆敬老院,青暮路281号,68901803,121.694673,31.217826
20.0,浦东,合庆,上海青墩养老院,青暮路1348号,68910655,121.720431,31.222186
21.0,浦东,合庆,上海浦东新区爱心养老公寓,奚阳路885,68919958,121.726840,31.248188
22.0,浦东,三林,上海浦东新区康德敬老院,恒大路65号,58429858,121.497292,31.158187
23.0,浦东,三林,上海汇亲园养护院,上南路5128号,50827077,121.207557,31.159721
24.0,浦东,三林,上海浦东新区日月星养老院,浦东新区顾全路100号,61348880,121.534644,31.169738
25.0,浦东,北蔡,上海市浦东新区北蔡镇莲溪养护院,北中路575号,50910633,121.564585,31.184738
26.0,浦东,北蔡,上海安达养护院,莲园路359号,50421225,121.605705,31.267437
27.0,浦东,北蔡,上海凯健华鹏老年服务有限公司（上海凯健华鹏养老院有限公司）,华鹏路96号,68387000,121.524354,31.177410
28.0,浦东,北蔡,上海万福年华养老院,沪南公路865号,60348699,121.411500,31.055667
29.0,浦东,惠南,上海市浦东新区惠南镇惠颐养护院,南祝路2700号,58098999,121.761237,31.078837
30.0,浦东,大团,上海浦东新区永春福利院,永春东路18号,58086248,121.748706,30.970591
31.0,浦东,大团,上海能益养老院,大团镇扶栏村下塘458号,58231307,121.753308,30.996700
32.0,浦东,周浦,上海市浦东新区周浦镇长乐养护院,康沈路2186号,58113050,121.581836,31.103232
33.0,浦东,周浦,上海松福养护院,周祝公路1529号,58151522,121.663950,31.109671
34.0,浦东,康桥,上海亲和源颐养院,秀沿路2999弄10号楼,38256162,121.356400,31.203470
35.0,浦东,航头,上海航馨养护院,航南公路501号,58229011,121.586172,31.014075
36.0,浦东,航头,上海浦东新区航头镇下沙敬老院,沪南公路4845号,58148888,121.587307,31.066293
37.0,浦东,航头,上海浦东新区航头阳光养老院,航头镇航南路101号,68221299,121.594004,31.024310
38.0,浦东,下沙,上海白金养老院,下沙新街103,58145775,121.594892,31.050884
39.0,浦东,泥城,上海明家养护院,彭平东路1103弄76号,58241194,121.798833,30.906038
40.0,浦东,泥城,上海春雷养护院,泥城彭镇艺华路1号,58241785,121.797641,30.903084
41.0,浦东,书院,上海邻港养护院,老芦公路1423号,58069799,121.865890,30.923320
42.0,浦东,祝桥,上海浦东新区机场第一敬老院,新东路5号,58931109,121.740780,31.193160
43.0,浦东,祝桥,上海浦东新区机场第二敬老院,水闸南路200号,68966766,121.761018,31.150656
44.0,浦东,祝桥,上海市浦东新区祝桥镇光明养护院,南祝公路5212号,68098121,121.754647,31.110214
45.0,浦东,川沙新镇,上海善芯养护院,川沙新镇陈桥村888号-1,58167737,121.466586,31.297017
46.0,浦东,川沙新镇,上海市浦东新区社会福利院,川沙路5637号,68580201,121.701164,31.181363
47.0,徐汇,康健街道,徐汇区社会福利院,上海市虹漕南路601号,54186261,121.416163,31.150330
48.0,徐汇,凌云街道,徐汇区第二社会福利院,龙州路600号,54290063,121.424472,31.135713
49.0,徐汇,康健街道,湖南敬老院,桂林西街30弄42号,54199447,113.017895,28.203208
50.0,徐汇,徐家汇街道,徐家汇街道敬老院,凯旋一村21号,64475197,121.425521,31.192774
51.0,徐汇,徐家汇街道,颐祥养老院,斜土路2590弄7号,64391283,121.444290,31.187347
52.0,徐汇,长桥街道,长桥街道敬老院,罗城路651弄65号,54112932,120.613869,31.237123
53.0,徐汇,龙华街道,金色港湾龙华颐养院,龙南三村85号,54091067,110.339546,20.039106
54.0,徐汇,凌云街道,梅陇敬老院,虹梅南路126弄55号,64768188,121.417030,31.139580
55.0,徐汇,凌云街道,日月星养老院,虹梅南路108号,54303839,121.492500,31.299238
56.0,徐汇,青浦夏阳街道,上海徐汇区馨怡养老院,青浦区外青松公路7718号,59718106,121.437866,31.199190
57.0,徐汇,漕河泾街道,上海乐缘养老院,宾阳路36号,64151576,121.436557,31.164473
58.0,徐汇,漕河泾街道,上海上达天平养老院,钦州路107号,64757799,121.431474,31.160935
59.0,徐汇,凌云街道,上海徐汇区兰公馆老年公寓,天等路430弄39号,64969195,121.428988,31.138064
60.0,徐汇,华泾镇,上海凯健华展老年护理有限公司,华展东路33号,54337768,121.459312,31.111395
61.0,徐汇,华泾镇,徐汇区第三老年福利院,华发路210号,54555066,121.451377,31.127054
62.0,徐汇,华泾镇,源梦颐养院,龙吴路2577号,54413727,121.455581,31.114130
63.0,长宁,虹桥镇街道,长宁区社会福利院,闵行区红松路81弄158号,34310539,121.377457,31.180919
64.0,长宁,新虹街道,上海市长宁区第二社会福利院,闵行区华漕镇中华美路60弄38-40号,62202062,121.330510,31.218681
65.0,长宁,华阳街道,上海华阳敬老院,长宁路396弄79号,62258022,121.424603,31.223644
0.0,长宁,华阳街道,上海华阳敬老院外设服务区,昭化路615弄277号,62526876,121.424603,31.223644
66.0,长宁,江苏街道,上海金福第二养老院,愚园路1088弄110支弄22号,62125056,121.428008,31.221531
67.0,长宁,江苏街道,上海长宁区逸仙第三敬老院,安西路651号,32560068,121.425438,31.214716
68.0,长宁,新华街道,上海法华颐养院,延安西路1652弄33号,51180268,121.418464,31.207636
69.0,长宁,程家桥街道,上海长宁区逸仙程桥敬老院,哈密路2008号,62629147,121.369825,31.192492
70.0,长宁,新泾镇,上海南山敬老院,新泾路118号,52198005,121.361837,31.204176
71.0,长宁,新泾镇,上海神州敬老院,仙霞西路601号,51877957,121.361839,31.208594
72.0,长宁,新泾镇,上海市长宁安馨敬老院,长宁区林泉路157号,51119990,121.373402,31.204650
73.0,长宁,新泾镇,上海祥福颐养院,协和路99号,52175099-8467,121.525533,31.201072
74.0,长宁,新泾镇,上海西郊协和颐养院,协和路295号,62902070,121.354318,31.212284
75.0,长宁,新泾镇,上海金福第三养老院,广顺路18号,52069511,121.351701,31.218079
76.0,普陀,区级,上海市普陀区社会福利院,枣阳路515号,62859688,121.401577,31.229243
77.0,普陀,区级,上海宜川养老院,"远景路
69号",62736681,121.450130,31.251765
78.0,普陀,长寿,上海申新养老院,澳门路150号,62662525,121.446536,31.246932
79.0,普陀,宜川,上海普陀区宜福敬老院,宜川六村78号,56947233,121.437200,31.258140
80.0,普陀,甘泉,上海颐和爱心敬老院,延长西路172号,36397118,121.440159,31.263128
